Barco,operacion,iteraciones, tiempo,daño, complexity
winterhlater-Splay,insert,1,0.695,0,0
winterhlater-Splay,insert,1,0.526,0,1
winterhlater-Splay,insert,1,0.104,0,1.58496
winterhlater-Splay,insert,1,0.071,0,2
winterhlater-Splay,insert,3,0.323,0,2.32193
winterhlater-Splay,insert,2,0.163,0,2.58496
winterhlater-Splay,insert,2,0.16,0,2.80735
winterhlater-Splay,insert,3,0.193,0,3
winterhlater-Splay,insert,2,0.196,0,3.16993
winterhlater-Splay,insert,2,0.135,0,3.32193
winterhlater-Splay,insert,4,0.254,0,3.45943
winterhlater-Splay,insert,2,0.169,0,3.58496
winterhlater-Splay,insert,2,0.129,0,3.70044
winterhlater-Splay,insert,4,0.237,0,3.80735
winterhlater-Splay,insert,2,0.155,0,3.90689
winterhlater-Splay,insert,3,0.464,0,4
winterhlater-Splay,insert,2,0.193,0,4.08746
winterhlater-Splay,insert,4,0.276,0,4.16993
winterhlater-Splay,insert,2,3.398,0,4.24793
winterhlater-Splay,insert,2,0.168,0,4.32193
winterhlater-Splay,insert,3,0.23,0,4.39232
winterhlater-Splay,insert,4,0.265,0,4.45943
winterhlater-Splay,insert,3,0.15,0,4.52356
winterhlater-Splay,insert,5,0.403,0,4.58496
winterhlater-Splay,insert,4,0.238,0,4.64386
winterhlater-Splay,insert,4,0.311,0,4.70044
winterhlater-Splay,insert,6,0.325,0,4.75489
winterhlater-Splay,insert,4,0.248,0,4.80735
winterhlater-Splay,insert,5,0.258,0,4.85798
winterhlater-Splay,insert,3,0.172,0,4.90689
winterhlater-Splay,insert,4,0.187,0,4.9542
winterhlater-Splay,insert,2,0.262,0,5
winterhlater-Splay,insert,5,0.284,0,5.04439
winterhlater-Splay,insert,4,0.249,0,5.08746
winterhlater-Splay,insert,3,0.212,0,5.12928
winterhlater-Splay,insert,5,0.251,0,5.16993
winterhlater-Splay,insert,3,0.178,0,5.20945
winterhlater-Splay,insert,4,0.218,0,5.24793
winterhlater-Splay,insert,5,0.286,0,5.2854
winterhlater-Splay,insert,3,0.158,0,5.32193
winterhlater-Splay,insert,10,0.458,0,5.35755
winterhlater-Splay,insert,5,0.402,0,5.39232
winterhlater-Splay,insert,3,0.282,0,5.42626
winterhlater-Splay,insert,3,0.249,0,5.45943
winterhlater-Splay,insert,4,0.24,0,5.49185
winterhlater-Splay,insert,7,0.452,0,5.52356
winterhlater-Splay,insert,4,0.238,0,5.55459
winterhlater-Splay,insert,7,0.488,0,5.58496
winterhlater-Splay,insert,5,0.364,0,5.61471
winterhlater-Splay,insert,6,0.398,0,5.64386
winterhlater-Splay,insert,6,0.365,0,5.67243
winterhlater-Splay,insert,4,0.243,0,5.70044
winterhlater-Splay,insert,4,0.241,0,5.72792
winterhlater-Splay,insert,5,0.475,0,5.75489
winterhlater-Splay,insert,4,0.294,0,5.78136
winterhlater-Splay,insert,2,0.162,0,5.80735
winterhlater-Splay,insert,8,0.483,0,5.83289
winterhlater-Splay,insert,5,0.276,0,5.85798
winterhlater-Splay,insert,5,0.331,0,5.88264
winterhlater-Splay,insert,6,0.337,0,5.90689
winterhlater-Splay,insert,3,0.231,0,5.93074
winterhlater-Splay,insert,7,0.415,0,5.9542
winterhlater-Splay,insert,3,0.185,0,5.97728
winterhlater-Splay,insert,5,0.33,0,6
winterhlater-Splay,insert,3,0.165,0,6.02237
winterhlater-Splay,insert,5,0.313,0,6.04439
winterhlater-Splay,insert,4,0.274,0,6.06609
winterhlater-Splay,insert,9,0.514,0,6.08746
winterhlater-Splay,insert,4,0.201,0,6.10852
winterhlater-Splay,insert,6,0.318,0,6.12928
winterhlater-Splay,insert,6,0.351,0,6.14975
winterhlater-Splay,insert,2,0.19,0,6.16993
winterhlater-Splay,insert,6,0.302,0,6.18982
winterhlater-Splay,insert,3,0.12,0,6.20945
winterhlater-Splay,insert,6,0.277,0,6.22882
winterhlater-Splay,insert,5,0.413,0,6.24793
winterhlater-Splay,insert,7,0.451,0,6.26679
winterhlater-Splay,insert,7,0.501,0,6.2854
winterhlater-Splay,insert,4,0.343,0,6.30378
winterhlater-Splay,insert,6,0.385,0,6.32193
winterhlater-Splay,insert,6,0.31,0,6.33985
winterhlater-Splay,insert,6,0.324,0,6.35755
winterhlater-Splay,insert,5,0.248,0,6.37504
winterhlater-Splay,insert,4,0.229,0,6.39232
winterhlater-Splay,insert,6,0.289,0,6.40939
winterhlater-Splay,insert,7,0.372,0,6.42626
winterhlater-Splay,insert,7,0.588,0,6.44294
winterhlater-Splay,insert,5,0.278,0,6.45943
winterhlater-Splay,insert,4,0.315,0,6.47573
winterhlater-Splay,insert,5,0.376,0,6.49185
winterhlater-Splay,insert,3,0.262,0,6.50779
winterhlater-Splay,insert,7,0.381,0,6.52356
winterhlater-Splay,insert,4,0.263,0,6.53916
winterhlater-Splay,insert,7,0.318,0,6.55459
winterhlater-Splay,insert,11,0.536,0,6.56986
winterhlater-Splay,insert,5,0.354,0,6.58496
winterhlater-Splay,insert,7,0.271,0,6.59991
winterhlater-Splay,insert,7,0.334,0,6.61471
winterhlater-Splay,insert,3,0.219,0,6.62936
winterhlater-Splay,insert,6,0.387,0,6.64386
winterhlater-Splay,insert,5,0.328,0,6.65821
winterhlater-Splay,insert,6,0.326,0,6.67243
winterhlater-Splay,insert,5,0.319,0,6.6865
winterhlater-Splay,insert,6,0.323,0,6.70044
winterhlater-Splay,insert,6,0.356,0,6.71425
winterhlater-Splay,insert,4,0.199,0,6.72792
winterhlater-Splay,insert,7,0.469,0,6.74147
winterhlater-Splay,insert,5,0.257,0,6.75489
winterhlater-Splay,insert,6,0.319,0,6.76818
winterhlater-Splay,insert,7,0.345,0,6.78136
winterhlater-Splay,insert,7,0.34,0,6.79442
winterhlater-Splay,insert,3,0.393,0,6.80735
winterhlater-Splay,insert,5,0.374,0,6.82018
winterhlater-Splay,insert,8,0.505,0,6.83289
winterhlater-Splay,insert,9,0.588,0,6.84549
winterhlater-Splay,insert,5,0.277,0,6.85798
winterhlater-Splay,insert,6,0.445,0,6.87036
winterhlater-Splay,insert,8,0.533,0,6.88264
winterhlater-Splay,insert,8,0.401,0,6.89482
winterhlater-Splay,insert,5,0.378,0,6.90689
winterhlater-Splay,insert,6,0.399,0,6.91886
winterhlater-Splay,insert,4,0.23,0,6.93074
winterhlater-Splay,insert,4,0.228,0,6.94251
winterhlater-Splay,insert,6,0.298,0,6.9542
winterhlater-Splay,insert,6,0.28,0,6.96578
winterhlater-Splay,insert,6,0.418,0,6.97728
winterhlater-Splay,insert,7,0.333,0,6.98868
winterhlater-Splay,insert,4,0.314,0,7
winterhlater-Splay,insert,8,0.472,0,7.01123
winterhlater-Splay,insert,6,0.256,0,7.02237
winterhlater-Splay,insert,7,0.396,0,7.03342
winterhlater-Splay,insert,11,0.737,0,7.04439
winterhlater-Splay,insert,5,0.293,0,7.05528
winterhlater-Splay,insert,4,0.276,0,7.06609
winterhlater-Splay,insert,4,0.298,0,7.07682
winterhlater-Splay,insert,9,0.483,0,7.08746
winterhlater-Splay,insert,7,0.301,0,7.09803
winterhlater-Splay,insert,8,0.386,0,7.10852
winterhlater-Splay,insert,4,0.293,0,7.11894
winterhlater-Splay,insert,3,0.187,0,7.12928
winterhlater-Splay,insert,7,0.53,0,7.13955
winterhlater-Splay,insert,4,0.253,0,7.14975
winterhlater-Splay,insert,9,0.513,0,7.15987
winterhlater-Splay,insert,6,0.351,0,7.16993
winterhlater-Splay,insert,7,0.421,0,7.17991
winterhlater-Splay,insert,6,0.349,0,7.18982
winterhlater-Splay,insert,11,0.608,0,7.19967
winterhlater-Splay,insert,8,0.48,0,7.20945
winterhlater-Splay,insert,8,0.426,0,7.21917
winterhlater-Splay,insert,6,0.292,0,7.22882
winterhlater-Splay,insert,3,0.174,0,7.2384
winterhlater-Splay,insert,5,0.291,0,7.24793
winterhlater-Splay,insert,8,0.667,0,7.25739
winterhlater-Splay,insert,10,0.857,0,7.26679
winterhlater-Splay,insert,8,0.425,0,7.27612
winterhlater-Splay,insert,8,0.509,0,7.2854
winterhlater-Splay,insert,7,0.391,0,7.29462
winterhlater-Splay,insert,4,0.248,0,7.30378
winterhlater-Splay,insert,5,0.255,0,7.31288
winterhlater-Splay,insert,7,0.384,0,7.32193
winterhlater-Splay,insert,8,0.461,0,7.33092
winterhlater-Splay,insert,7,0.362,0,7.33985
winterhlater-Splay,insert,6,0.341,0,7.34873
winterhlater-Splay,insert,10,0.467,0,7.35755
winterhlater-Splay,insert,3,0.204,0,7.36632
winterhlater-Splay,insert,6,0.278,0,7.37504
winterhlater-Splay,insert,7,0.34,0,7.3837
winterhlater-Splay,insert,8,0.41,0,7.39232
winterhlater-Splay,insert,7,0.384,0,7.40088
winterhlater-Splay,insert,7,0.294,0,7.40939
winterhlater-Splay,insert,7,0.357,0,7.41785
winterhlater-Splay,insert,8,0.417,0,7.42626
winterhlater-Splay,insert,6,0.332,0,7.43463
winterhlater-Splay,insert,5,0.264,0,7.44294
winterhlater-Splay,insert,7,0.403,0,7.45121
winterhlater-Splay,insert,7,0.315,0,7.45943
winterhlater-Splay,insert,8,0.37,0,7.46761
winterhlater-Splay,insert,8,3.39,0,7.47573
winterhlater-Splay,insert,11,0.635,0,7.48382
winterhlater-Splay,insert,5,0.274,0,7.49185
winterhlater-Splay,insert,7,0.372,0,7.49985
winterhlater-Splay,insert,5,0.46,0,7.50779
