Barco,operacion,iteraciones, tiempo,daño, complexity
typhon-Array,search,12,0.708,8,13.2877
typhon-Array,search,13,0.93,7,13.2877
typhon-Array,search,13,0.617,7,13.2877
typhon-Array,search,14,0.678,7,13.2877
typhon-Array,search,13,0.602,7,13.2877
typhon-Array,search,13,0.851,7,13.2877
typhon-Array,search,11,0.617,9,13.2877
typhon-Array,search,13,0.281,7,13.2877
typhon-Array,search,11,0.734,9,13.2877
typhon-Array,search,13,0.529,7,13.2877
typhon-Array,search,13,0.597,7,13.2877
typhon-Array,search,11,1.175,9,13.2877
typhon-Array,search,12,0.86,8,13.2877
typhon-Array,search,13,0.663,7,13.2877
typhon-Array,search,12,0.673,8,13.2877
typhon-Array,search,13,0.527,7,13.2877
typhon-Array,search,13,0.493,7,13.2877
typhon-Array,search,12,0.71,8,13.2877
typhon-Array,search,13,0.434,7,13.2877
typhon-Array,search,13,0.733,7,13.2877
typhon-Array,search,14,0.576,7,13.2877
typhon-Array,search,14,0.587,7,13.2877
typhon-Array,search,11,0.78,9,13.2877
typhon-Array,search,12,0.302,8,13.2877
typhon-Array,search,13,0.791,7,13.2877
typhon-Array,search,14,0.444,7,13.2877
typhon-Array,search,13,0.705,7,13.2877
typhon-Array,search,13,0.756,7,13.2877
typhon-Array,search,12,0.396,8,13.2877
typhon-Array,search,14,0.484,7,13.2877
typhon-Array,search,13,0.583,7,13.2877
typhon-Array,search,13,1.237,7,13.2877
typhon-Array,search,14,0.686,7,13.2877
typhon-Array,search,8,0.405,12,13.2877
typhon-Array,search,13,0.941,7,13.2877
typhon-Array,search,14,1.136,7,13.2877
typhon-Array,search,13,0.825,7,13.2877
typhon-Array,search,14,0.577,7,13.2877
typhon-Array,search,13,0.411,7,13.2877
typhon-Array,search,11,0.396,9,13.2877
typhon-Array,search,13,0.52,7,13.2877
typhon-Array,search,13,0.437,7,13.2877
typhon-Array,search,13,0.612,7,13.2877
typhon-Array,search,14,0.563,7,13.2877
typhon-Array,search,12,0.334,8,13.2877
typhon-Array,search,12,0.413,8,13.2877
typhon-Array,search,14,0.46,7,13.2877
